Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
Fusionex,FXI,2500,120.00,180,85,26/01/2016,,,
Empiric Student Prop,ESP,3500,112.00,120,100,25/01/2016,,,
Xaar,XAR,500,458.50,520,440,22/01/2016,,,
Iomart,IOM,2000,226.30,290,190,22/01/2016,,,
NCC,NCC,2500,303.50,350,280,21/01/2016,,,
Paysafe,PAYS,2500,381.75,500,340,21/01/2016,,,
Pets At Home,PETS,2500,247.40,295,220,21/01/2016,,,
Tritax,BBOX,3000,126.70,140,115,20/01/2016,,,
Paysafe,PAYS,1000,385.00,450,320,08/01/2016,,,
Worldpay,WGP,1000,301.00,350,250,04/01/2016,,,
Softcat,SCT,2000,322.90,380,270,22/12/2015,,,
Cyprotex,CRX,5000,87.00,140,65,17/12/2015,,,
Quantum Pharma,QP.,5000,91.45,120,82,10/12/2015,98.00,08/01/2015,328.00
Robinson,RBN,2500,202.00,250,185,08/12/2015,209.00,18/01/2016,175.00
Entertainment One,ETO,1500,139.80,250,100,08/12/2015,,,
RPC,RPC,1000,774.00,850,720,08/12/2015,,,
Softcat,SCT,1000,295.75,370,260,07/12/2015,,,
Total Produce,TOT,2500,102.50,120,90,07/12/2015,,,
NCC,NCC,2000,279.00,330,250,03/12/2015,,,
Goal Soccer Centres,GOAL,5000,146.90,200,130,17/11/2015,132.50,15/01/2016,-720.00
Stadium,SDM,5000,116.90,135,105,12/11/2015,116.17,27/11/2015,-37.00
